response_id,should_sign,free_response
63,0,"Under the Compact I would not have been allowed into Vanderbilt. All my Dual Enrollment college credits, none of which I graded less than 90% on, would have meant anything in absence of an SAT or ACT score. Beyond that, the final demand is worded so vaguely that almost any institution could be targeted depending on what the accuser defines Conservative as. I fear that I might be affected by this in the future"
64,0,Most of the students at Vanderbilt are international and many people study and come to Vanderbilt for their clubs focusing on gender and race.
65,0,This is significant government overreach that will result in drastically reduced free speech on campus. This is a Trojan horse that would allow the government to legally censor speech and propaganda.
66,0,"It is a violation of institutional neutrality, as well as giving up constitutional rights. This is unconstitutional and un-american, do not sign the compact, or any compact."
67,0,I believe the compact limits Vanderbilt’s sovereignty
68,0,absolutely not.
69,0,"I think this would provide a dangerous precedent for higher education ceding to federal demands in a way not authorized by Congress. I believe signing a compact that provides preferential treatment to signing universities violates much of what Vanderbilt stands for in terms of Institutional Neutrality and simply as an independent entity in the educational space. Though there are many changes in the Compact that I agree with and believe would be beneficial, this cannot be the way that change is made, as it must come from the University itself, not from the federal government."
70,1,"Given that international students are not currently affected, I agree with the other points in the compact."
71,0,Academic freedom shouldn’t be restricted by the menace of subsidy.
72,0,"I think the compact sets precedent for how much control the federal government has over freedom of speech and expression on college campuses. Especially with limitations to departments that may encourage more discourse between students and the community, it does not seem fair to put harsh limitations on what students or full departments are allowed to say/teach/discuss."
73,0,This would completely take away all student autonomy and the ability for self-expression. It would spark fear among many students that their ideas have government oversight.
74,0,"it’s racist, transphobic, and xenophobic"
75,0,"Impact to international students and minorities is buried within other seemingly good changes (tuition freeze, tuition free for hard science majors)"
76,0,"This compact does not follow institutional neutrality and violates the rights of the students. Sharing certain student records with federal agencies on request violates privacy. Additionally, ""threatening conservative ideals"" is poorly defined and will, under this administration, be used to limit the free speech of students and is an attack on academic freedom for both students and professors. Additionally, this threatens the identities of students who do not align with ""conservative values"". As Drew Spiegel noted in the hustler, this is the wrong way to implement institutional changes."
77,0,The continuous bowing down to the Trump Administration will lead to a decreasing level of care for the little diversity Vanderbilt already has.
78,0,Race and gender admissions help level out the playing field for under resourced communities
79,0,NO NO NO!!!!
80,0,"It provides a strong bias for hard sciences, but the humanities are just as important. Also, universities, being private, should not have instructions on what they can and cannot teach by the government."
81,0,"The last part of the compact is a deal-breaker. That is a very vague area that can be construed to make even the slightest opposition to conservative ideology an area of conflict that the U.S government would then have financial leverage over in order to comply with their standards. The same standards need to be applied across all parties and beliefs in general. Not only does this compact blatantly violate the first amendment right to free speech—including the right to “belittle” anyone you please—this could, though extreme, be part of a fascist movement that attempts to silence people for political and financial gain. If the compact did not include the last statement, or at least an altered version of it to where it would apply to everything said against another people on campus, then I would agree with signing the compact. But, as is, this compact is not worth signing, and is quite frankly just handing over a private university’s right to function as it pleases to the government."
82,0,"I think regulating international student enrollment is only good if you are preventing these students from being exploited and give them resources that protect them if they have to unenroll for any reason. Otherwise I think it’s just xenophobia masked as concern for Americans. Affirmative action is in place to uplift high performing students who if not considered in a holistic light, would not be given the same opportunities. It’s not about disparaging the students who have opportunity, it’s about supporting people who don’t. I also fear that if we accept this funding, especially with no clear outline of what departments are and how they are purposefully punish, belittle, and even spark violence against conservative ideas.” that we risk the quality of education available at Vanderbilt. Education should not align with any particular political belief, but we live in a time where objective fact is politically controversial. How would they determine what is bias against conservatives, and what is just facts and history that don’t support conservative beliefs? Also if it gets implemented it cannot be one sided, efforts to belittle left leaning ideologies deserve the same respect. We also cannot lessen the quality of education and students access to opinion, facts, and historical accounts just because it could hurt someone’s feelings. There’s no way we could implement this and rightfully deserve to be ranked as a top university. It cannot be implemented in a feasible way. I don’t support violence against conservatives, but this is not protecting anyone. It is not protecting free speech, it is amplifying one opinion and not allowing for thoughtful discussion or debate. We should address violence, but this is not the solution."
83,0,"If Vanderbilt is is to truly adhere to the “Principled neutrality” value that Diermeier values, we should not be aligning ourselves with any presidential agenda."
84,0,"I don't oppose the contents of the compact, I oppose submitting to the federal government, especially since Vanderbilt is dedicated to critical thinking and open dialogue. Additionally, the compact would diminish the diverse student body we have by reducing international students and incentivizing hard science majors."
85,1,The university already is in alignment with many of these ideals. I believe it would be beneficial to sign on. Free speech is a great thing to promote on college campuses and making everyone feel okay to share their thoughts is a necessity for a successful institution.
86,0,"The disruption clause is too nondescript. Do students reserve the right to protest peacefully? Also this: ""Departments that target conservative views."" C'mon guys you know what signing this can lead to. Stand against this idiocracy."
87,0,We need change in America. Not go back to old standards.
88,0,"Regardless of the content of the compact, in many students' eyes, this would undermine the stance of political neutrality which Vanderbilt holds. Speaking in terms of the compact's contents, though, many of these measures are largely just punitive, which does not align with the collaborative spirit that most people would regard a true ""compact"" to hold."
89,1,"I think we should fight eliminating race as a consideration in admissions but we should sign it regardless. We are under the cap for international students. We are likely already heading toward the standardized testing mandates. We are underneath the endowment mark that would force us to give stem students free tuition. Therefore, we largely do not have to change our existing policies, and would recieve a large amount of federal funding in signing this compact."
90,1,"i can agree with most of the terms with an exception of taking action against departments which ""purposefully punish, belittle, and even spark violence against conservative ideas"""
91,0,The last component is the hard deal breaker as it's straight biased censorship
92,0,"I would question the piece about extending help for “hard science majors”. That is very difficult to truly measure, people switch majors all the time and funding would be very difficult to track."
93,0,Direct federal oversight of private institutions is very concerning. The Compact needs to be edited significantly.
94,0,"I do not believe in allowing politics to dictate education, no matter which party it is trying to influence us. We are a private institution, and this feels like a bribe to do as the current administration says. I especially dislike the idea that organizations cannot criticize conservative values. This would dismantle organizations such as the Vanderbilt Democrats and many others. Students need to be allowed to share and discuss idea, no matter which side of the political spectrum they are on."
95,0,I think there should be a additional safety net for federal funding without tying it towards signing the document.
96,1,"I believe a lot of the provisions of the Compact such as data transparency, requiring SAT/ACT scores, and promoting free speech would increase Vanderbilt’s prestige and academic enviroment"
97,0,It will put our campus at risk for restricted protest and speech
98,0,Many of the guidelines in the compact are a gross overreach of the federal government on higher education and it would be a disgrace for Vanderbilt to be complacent with it. The good ideas sprinkled in and between clear authoritarianism does not warrant our signing of the compact.
99,0,Don’t let money change your values
100,0,Fuck that Oompa Loompa. The compact demonstrates a direct attack on certain groups and reeks of favoritism and bribery to hopefully have higher educational facilities’ beliefs aligned with his own
101,0,"This isn’t a dictatorship, and Trump is out of control and so far out of line."
102,0,"I worry about the precedent that this would set allowing the government to intervene in what schools are teaching. I do not think a private school should be instructed to teach in a certain way by the government. This feels like a scary, as historically speaking government intervention in higher education has been a sign of Authoritarianism and I would not want the government to be intervening in American higher education."
103,0,Pushing public political agendas in private institutions should be banned instead.
104,0,I feel like the university should stay nonpartisan and try to stay independent from the gov.
105,0,"The federal government has no place in dictating the requirements set by a university for admission. Why should the federal government get a say in whether a private university is test-optional in its admissions process? The vague wording of the compact is also concerning. What defines a ""hard science""? Does biology count as a hard science? What about ecology? Climate studies? How would the federal government delineate between ""belittling"" conservative views and critiquing conservative talking points? The compact's specific mention of protecting ""conservative viewpoints"" is also alarming. The compact claims to be promoting free speech and institutional neutrality, yet the compact itself cannot even pretend to be neutral and unbiased. Why are conservative ideas specifically singled out as needing protection? This all reads as a thinly veiled attempt by the Trump administration to hijack private education."
106,0,"Of course not!! The government is trying to implement conservative affiliation in our classrooms with things like defining man/women according to Trump administration perspective. And technically anything promoting liberal views could be interpreted as targeting conservative views, which is not institutionally neutral at all. Garbage compact, trump administration is so ridiculously stupid."
107,0,I don’t think it’s a good idea for the university to jeopardize its own freedom.
108,0,This is a disgusting oversight of federal power. The government should not be using financial incentives as a way to get top universities to comply with their agenda.
109,0,"The Trump administration should not be able to declare how this university is run. In particular, the international students section of the compact would have an extremely negative impact on our campus community. Everyone deserves a quality education, no matter their race, gender, home country, etc."
110,0,"I think even if I like the concept of potentially cheaper tuition or even free tuition for certain majors. Personally, I would switch my major or double major and take the extra years needed if it was free. However, I think theres a fundamental lack of principle and self-respect with that decision. Should we be forced to conform? Even if we agree with some of it the decision it self is a bow to authority. A authority that I feel is growing rapidly distant from its own people. Its a complicated situation, and in the end I believe in Vanderbilt to make the best call."
111,1,"I think that it should be signed in general, but the clause about conservative ideals and defining gender worry me; they are fine as worded, but give the possibility of unfair/unbalanced control over the schools actions as it is a bit vauge."
112,1,I’m a moderate and I don’t think any of these requests are really that controversial
113,0,Do not give in to tyranny
114,0,Its conditions erase marginalized students and put free expression at risk.
115,0,"The compact tries to appear fair while sneaking in an alternate agenda of shutting down any speech against conservative themes, limiting free speech. This is an overstep of political power against a private institution"
116,0,"There are some guidelines within the compact that would limit the student body such as reinstatement of standardized testing, definition of sex/gender, and international student cap."
117,0,I think that signing would violate our core principle of institutional neutrality and also demonstrate support for complete federal overreach and negatively affect many marginalized groups on campus.
118,0,"This will send the message to the student body that the entire motto of Vanderbilt, ""Dare to Grow"" is more ""Comply and Deny"" as majority of the student body is strongly against these barriers being placed that will alter the culture and free speech of the school, as well as the accessibility of the school."
119,0,don’t like trump
120,0,Do not sign anything.
121,0,"This violates my rights, specifically my freedom of speech."
122,1,I agree with both the guidelines and think the funding would be great for vanderbilt.
123,0,"To protect Vanderbilt's position as a bastion of free speech, civil discourse, and the iterative process that is the pursuit of truth. To sign on to an agreement with the Trump Administration that is extortionary by nature, Vanderbilt would forfeit its ability to pursue and disseminate knowledge. We do not need some arbitrary balance of ideologues within each subunit of our campus, from academic departments to student organizations."
124,0,"Well first of all, why would you trust a felon? Why would you trust a man whos ancestors arent even native to the very land he’s trying to push everybody else out of?"
125,0,"It is a blatant overreach for the government to have any say in the curriculum, hiring practices, gender policies, or functioning of a private university. This would be overreach under any administration but is a fascist choice by the Trump administration and would directly harm the student body at Vanderbilt. I would be appalled if our university complied and would be disappointed if our student government failed to speak out."
126,0,Government should NOT have input on private universities!
127,1,"At least for our school, it doesn’t have any negative effects. Like yes it would bring back standardized tests (which I feel like is need since our school is at the rank it is), but the free tuition for the students studying the harder science degrees this could be life changing. Like this school is really really expensive and when I got my financial aid package, it honestly was not good and I couldn’t afford to go to this school, but I got lucky enough and got a full tuition merit scholarship."
128,0,To capitulate to the Trump administration by agreeing to this contract is absolutely absurd and asinine. To sign this contract goes against every reason I chose to come to Vanderbilt in the first place. I would be deeply disappointed and appalled by any decision regarding this contract other than for Vanderbilt to quite literally say: “fuck this.”
129,0,"I agree with points 1, 3, 4, and 8 in the Compact. I fear point 5 might result in reduced job placement (as some employers might fail to consider the rigor of the university). I also fear point 7 might result in reduced financial aid, making the university only accessible to the wealthy. Point 6 addresses a problem for which (I believe) there is no solution -- gender nonconforming and transgender rights versus women's rights. So, I am unsure about this point. Point 2 sounds nice, but the vague language allows the government to give preference to whichever party is in power (conservative right now). But the primary reason I do not believe Vanderbilt should sign the compact is that noncompliant universities will ""forego federal benefits."" This vague language seems to me a clear overreach of power, which can only be counteracted by a refusal to ""play the game."""
130,0,"As someone with very little knowledge as to what this thing actually does, I’m going based only on my instincts."
131,0,"undemocratic, unconstitutional, institutional bullying."
132,1,I have no idea why anyone would be against this all the request seem perfectly logical
133,0,"Vanderbilt is a place to learn, think, debate and explore new field of interest. The federal government has no authority to force and bully university to encourage one type of political thinking. Chancellor claims to be a person of neutrality, he should everything in his power to reject the deal to maintain Vanderbilt independence."
134,1,"This compact has made me think about a lot. I should start by emphasizing that I deplore Donald Trump and many of his policies, so I expected to hate this one as well. However, having read through the terms of the compact, I am surprised to say that I generally like its terms. My only hesitance comes from the fear that our compliance could be used to enforce future more arbitrary and or partisan rules in the future. I have a few friends like me who are also moderate democrats and feel the same way, but I am very curious to see what the implications of signing will be."
135,0,"The proposed Compact is an alarming overreach that directly undermines the autonomy, inclusivity, and academic freedom that define institutions like Vanderbilt. Mandating outdated and politically motivated definitions of sex erases the lived experiences and identities of many students and faculty, violating the spirit of nondiscrimination in our Student Handbook. Requiring standardized tests again ignores the vast research showing their socioeconomic and racial bias, while banning the consideration of race or gender in admissions and hiring actively reverses decades of progress toward equity. Capping international enrollment discourages global collaboration and diversity, values that are foundational to higher education. Even more concerning, allowing the Department of Justice to “monitor adherence” threatens universities’ independence and opens the door to political surveillance of academic spaces. Though transparency and free speech are important, these measures are being used here as a guise for ideological control. Vanderbilt should reject this Compact not only because it contradicts our institutional commitments, but because it sets a dangerous precedent of federal intrusion into university governance and academic expression."
136,0,"compact mandates go against both biological and sociological understandings of race and gender, and disregard the fact that background is a major factor in how admissions are weighed. In addition, the content regulations along party lines could be taken to rewrite entire curricula due to vague definitions, going against scientific knowledge in the worst cases."
137,0,I think the notion of trying to get an institution to sign any kind of deal simply to avoid prosecution and persecution by the government is a violation of the independence of the institutions and the values of building and protecting a democratic society.
138,0,Capitulation isn't the answer and isn't an isolated choice by one university-- there's little accountability on the federal side to honor this agreement even if vanderbilt dutifully abides by all the freedom- and autonomy-limiting measures. A yes would cripple the independent capacity for thought in higher education
139,1,It seems that Vanderbilt already follows most if not all of the demands listed. It would seem foolish not to accept them.
140,0,it’s hard for international
141,0,"I believe in institutional neutrality and free expression, this compact is antithetical to institutional neutrality and free expression"
142,0,It goes against all of my moral and ethical opinions. It makes getting to higher education extremely difficult for many populations now
143,0,"We have the ability to make a stance to fight against a dictatorship. Vanderbilt's position could not only harm current students but deter future prospective students if they were to sign the Compact. This Compact weaponizes funding to force universities to comply with Trump's ideological rules. It's controlling and academic freedom is taken away. Vanderbilt prides themselves on neutrality but this Compact is government-enforced silence on social issues and scientific facts. This Compact is so unbelievably harmful I would be ashamed to be a Vanderbilt graduate if they signed it. Forcing faculty and administrators to legally deny trans and intersex people's existence is such a violation of human rights. As a climate studies major the whole ""free speech protection"" clause of this Compact is a trap. It only protects one kind of speech: conservative speech. It empowers political appointees to dismantle any academic unit that discusses systemic racism, climate justice, or gender equity. Entire majors in climate science, EES, geology, ecology, public health, gender and sexuality studies, women studies, sociology, psychology, public policy, anthropology, ALL foreign languages, and so many more at this university would receive censorship that limits our education. It's a fact that Trump's actions of pulling out of the Paris Treaty and so many more horrifying actions affect sustainability and climate change. How are my professors not allowed to say that?? We should not let politicians dictate our research OR TEACHING. Hearing my professors fear what they say is horrifying and an infringement on our rights. Signing the Compact would turn neutrality into submission."
144,1,"I believe it to be for the best in Vandy’s research and future in the sciences to support the compact. In these times, signing it would save Vandy from more political punitive measures while supporting our faculty."
145,0,I feel it does not align with our “institutional neutrality”
146,0,Some of the terms in this compact directly go against Vanderbilt's dedication to inclusion and should not be accepted as they are.
147,0,"I believe the Trump administration issuing demands to schools (especially those considered to have prestige) is simply not democratic or constitutional. After reviewing the compact, all I can think of is the irony and hypocrisy in its language. This administration claims they would like to “protect free speech,” but within the same compact, wants to restrict the vocabulary we are allowed to use in the classrooms about gender and sex to comply with their definitions. I know that these demands issued by this administration place pressure that I could not even imagine handling if I were on the administrative side of this issue. We have seen how they have come after Harvard for refusing. That said, Vanderbilt would not be the inclusive campus it is today without the students that this compact directly harms. The cap on international students, as well as the strict definition terms for the expression of gender and sex identity, reflect this administration's explicit biases towards those groups. This bias does not belong at a private institution, and the government should not be able to control who feels welcome here. We cannot “dare to grow” in an environment where we feel unsafe to express ourselves freely."
148,0,The compact rule takes away the ability for various types of students to be great and slowly starts to push success for only one certain group(read between the lines).
149,0,"Beyond my thoughts on the specific elements of the Compact, Vanderbilt must not sign it if it wishes to have any moral grounding on its ""principled neutrality"" concept. If Vanderbilt chooses to sign onto this Compact, we will see that principled neutrality was never truly neutral; it was an excuse for apathy when the University did not want to engage in public issues."
150,0,This is government overreach (regardless of what party is pushing for it). Education should be regulated but not controlled by the government.
151,0,Abuse of federal power. Can't force higher institutions to adhere to political values through what is effectively monetary bribes.
152,0,No Department of Justice oversight.
153,0,This is ridiculous. The Trump administration doesn't want the betterment of others they want to push their own agenda. The Vanderbilt community deserves and stands for better.
154,0,To remain apolitical and neutral I don’t think we should start a precedent of doing whatever a sitting president asks us to do
155,0,that’s discrimination.
