ccode,stateabb,year,mil_indicator,amount
2,USA,1868,personnel,66
2,USA,1869,spending,16559
2,USA,1869,personnel,52
2,USA,1870,spending,13128
2,USA,1870,personnel,50
2,USA,1871,spending,11811
2,USA,1871,personnel,42
2,USA,1872,spending,14246
2,USA,1872,personnel,42
2,USA,1873,spending,15014
2,USA,1873,personnel,43
2,USA,1874,spending,12899
2,USA,1874,personnel,44
2,USA,1875,spending,11720
2,USA,1875,personnel,38
2,USA,1876,spending,10749
2,USA,1876,personnel,41
2,USA,1877,spending,9074
2,USA,1877,personnel,34
2,USA,1878,spending,11367
2,USA,1878,personnel,36
2,USA,1879,spending,10527
2,USA,1879,personnel,38
2,USA,1880,spending,11414
2,USA,1880,personnel,38
2,USA,1881,spending,11973
2,USA,1881,personnel,38
2,USA,1882,spending,13040
2,USA,1882,personnel,38
2,USA,1883,spending,11425
2,USA,1883,personnel,37
2,USA,1884,spending,11438
2,USA,1884,personnel,39
2,USA,1885,spending,9748
2,USA,1885,personnel,39
2,USA,1886,spending,10382
2,USA,1886,personnel,39
2,USA,1887,spending,10765
2,USA,1887,personnel,39
2,USA,1888,spending,12647
2,USA,1888,personnel,39
2,USA,1889,spending,13195
2,USA,1889,personnel,39
2,USA,1890,spending,14788
2,USA,1890,personnel,39
2,USA,1891,spending,15315
2,USA,1891,personnel,38
2,USA,1892,spending,15654
2,USA,1892,personnel,39
2,USA,1893,spending,16964
2,USA,1893,personnel,39
2,USA,1894,spending,16001
2,USA,1894,personnel,42
2,USA,1895,spending,15187
2,USA,1895,personnel,42
2,USA,1896,spending,16382
2,USA,1896,personnel,42
2,USA,1897,spending,30249
2,USA,1897,personnel,44
2,USA,1898,spending,60011
2,USA,1898,personnel,236
2,USA,1899,spending,38588
2,USA,1899,personnel,100
2,USA,1900,spending,41481
2,USA,1900,personnel,126
2,USA,1901,spending,36087
2,USA,1901,personnel,112
2,USA,1902,spending,39722
2,USA,1902,personnel,111
2,USA,1903,spending,43814
2,USA,1903,personnel,106
2,USA,1904,spending,47918
2,USA,1904,personnel,110
2,USA,1905,spending,45098
2,USA,1905,personnel,108
2,USA,1906,spending,43602
2,USA,1906,personnel,112
2,USA,1907,spending,58725
2,USA,1907,personnel,108
2,USA,1908,spending,54189
2,USA,1908,personnel,129
2,USA,1909,spending,56177
2,USA,1909,personnel,142
2,USA,1910,spending,55880
2,USA,1910,personnel,139
2,USA,1911,spending,57157
2,USA,1911,personnel,145
2,USA,1912,spending,58992
2,USA,1912,personnel,153
2,USA,1913,spending,62825
2,USA,1913,personnel,155
2,USA,1914,spending,253205
2,USA,1914,personnel,166
2,USA,1915,spending,257648
2,USA,1915,personnel,174
2,USA,1916,spending,277421
2,USA,1916,personnel,179
2,USA,1917,spending,658584
2,USA,1917,personnel,644
2,USA,1918,spending,7014226
2,USA,1918,personnel,2897
2,USA,1919,spending,11217796
2,USA,1919,personnel,1173
2,USA,1920,spending,1657118
2,USA,1920,personnel,343
2,USA,1921,spending,1116342
2,USA,1921,personnel,387
2,USA,1922,spending,860853
2,USA,1922,personnel,270
2,USA,1923,spending,678256
2,USA,1923,personnel,247
2,USA,1924,spending,570142
2,USA,1924,personnel,261
2,USA,1925,spending,589706
2,USA,1925,personnel,252
2,USA,1926,spending,558004
2,USA,1926,personnel,247
2,USA,1927,spending,596501
2,USA,1927,personnel,249
2,USA,1928,spending,678100
2,USA,1928,personnel,251
2,USA,1929,spending,701300
2,USA,1929,personnel,255
2,USA,1930,spending,699200
2,USA,1930,personnel,256
2,USA,1931,spending,698900
2,USA,1931,personnel,253
2,USA,1932,spending,641600
2,USA,1932,personnel,245
2,USA,1933,spending,570400
2,USA,1933,personnel,244
2,USA,1934,spending,803100
2,USA,1934,personnel,247
2,USA,1935,spending,806400
2,USA,1935,personnel,252
2,USA,1936,spending,932600
2,USA,1936,personnel,291
2,USA,1937,spending,1032900
2,USA,1937,personnel,312
2,USA,1938,spending,1131499
2,USA,1938,personnel,323
2,USA,1939,spending,980000
2,USA,1939,personnel,334
2,USA,1940,spending,1657000
2,USA,1940,personnel,458
2,USA,1941,spending,6301000
2,USA,1941,personnel,1801
2,USA,1942,spending,26001000
2,USA,1942,personnel,3859
2,USA,1943,spending,72109000
2,USA,1943,personnel,9045
2,USA,1944,spending,87000000
2,USA,1944,personnel,11452
2,USA,1945,spending,90000000
2,USA,1945,personnel,12123
2,USA,1946,spending,45133984
2,USA,1946,personnel,3030
2,USA,1947,spending,14315999
2,USA,1947,personnel,1583
2,USA,1948,spending,10960998
2,USA,1948,personnel,1446
2,USA,1949,spending,13503000
2,USA,1949,personnel,1615
2,USA,1950,spending,14559000
2,USA,1950,personnel,1460
2,USA,1951,spending,33398000
2,USA,1951,personnel,3249
2,USA,1952,spending,47852000
2,USA,1952,personnel,3636
2,USA,1953,spending,49621008
2,USA,1953,personnel,3555
2,USA,1954,spending,42786000
2,USA,1954,personnel,3302
2,USA,1955,spending,40518000
2,USA,1955,personnel,2935
2,USA,1956,spending,41773008
2,USA,1956,personnel,2806
2,USA,1957,spending,44548000
2,USA,1957,personnel,2796
2,USA,1958,spending,45503008
2,USA,1958,personnel,2411
2,USA,1959,spending,46614000
2,USA,1959,personnel,2328
2,USA,1960,spending,45380000
2,USA,1960,personnel,2306
2,USA,1961,spending,47808000
2,USA,1961,personnel,2307
2,USA,1962,spending,52381008
2,USA,1962,personnel,2807
2,USA,1963,spending,52295008
2,USA,1963,personnel,2700
2,USA,1964,spending,51213008
2,USA,1964,personnel,2687
2,USA,1965,spending,51827008
2,USA,1965,personnel,2660
2,USA,1966,spending,67572000
2,USA,1966,personnel,3090
2,USA,1967,spending,75448000
2,USA,1967,personnel,3380
2,USA,1968,spending,80732000
2,USA,1968,personnel,3550
2,USA,1969,spending,81446000
2,USA,1969,personnel,3460
2,USA,1970,spending,77827008
2,USA,1970,personnel,3070
2,USA,1971,spending,74862000
2,USA,1971,personnel,2720
2,USA,1972,spending,77639000
2,USA,1972,personnel,2323
2,USA,1973,spending,78385000
2,USA,1973,personnel,2206
2,USA,1974,spending,85906000
2,USA,1974,personnel,2146
2,USA,1975,spending,90948000
2,USA,1975,personnel,2098
2,USA,1976,spending,91013000
2,USA,1976,personnel,2075
2,USA,1977,spending,100925000
2,USA,1977,personnel,2060
2,USA,1978,spending,109247000
2,USA,1978,personnel,2060
2,USA,1979,spending,122279000
2,USA,1979,personnel,2033
2,USA,1980,spending,143981000
2,USA,1980,personnel,2050
2,USA,1981,spending,169888000
2,USA,1981,personnel,2101
2,USA,1982,spending,196345000
2,USA,1982,personnel,2168
2,USA,1983,spending,217198000
2,USA,1983,personnel,2201
2,USA,1984,spending,237052000
2,USA,1984,personnel,2222
2,USA,1985,spending,245154000
2,USA,1985,personnel,2244
2,USA,1986,spending,265480000
2,USA,1986,personnel,2269
2,USA,1987,spending,273966000
2,USA,1987,personnel,2280
2,USA,1988,spending,281935000
2,USA,1988,personnel,2250
2,USA,1989,spending,294880000
2,USA,1989,personnel,2240
2,USA,1990,spending,289755000
2,USA,1990,personnel,2180
2,USA,1991,spending,262389000
2,USA,1991,personnel,2110
2,USA,1992,spending,286892000
2,USA,1992,personnel,1920
2,USA,1993,spending,297600000
2,USA,1993,personnel,1810
2,USA,1994,spending,293214000
2,USA,1994,personnel,1710
2,USA,1995,spending,277834000
2,USA,1995,personnel,1620
2,USA,1996,spending,277254000
2,USA,1996,personnel,1570
2,USA,1997,spending,276324000
2,USA,1997,personnel,1530
2,USA,1998,spending,279702000
2,USA,1998,personnel,1510
2,USA,1999,spending,292147000
2,USA,1999,personnel,1490
2,USA,2000,spending,303136000
2,USA,2000,personnel,1366
2,USA,2001,spending,322365000
2,USA,2001,personnel,1368
2,USA,2002,spending,348555000
2,USA,2002,personnel,1414
2,USA,2003,spending,404920000
2,USA,2003,personnel,1427
2,USA,2004,spending,455908000
2,USA,2004,personnel,1450
2,USA,2005,spending,495326000
2,USA,2005,personnel,1474
2,USA,2006,spending,521840000
2,USA,2006,personnel,1546
2,USA,2007,spending,552568000
2,USA,2007,personnel,1506
2,USA,2008,spending,616073000
2,USA,2008,personnel,1498
2,USA,2009,spending,662049000
2,USA,2009,personnel,1540
2,USA,2010,spending,693600000
2,USA,2010,personnel,1580
2,USA,2011,spending,687000000
2,USA,2011,personnel,1564
2,USA,2012,spending,655388000
2,USA,2012,personnel,1569
2,USA,2013,spending,600400000
2,USA,2013,personnel,1520
2,USA,2014,spending,581000000
2,USA,2014,personnel,1492
2,USA,2015,spending,597503000
2,USA,2015,personnel,1433
2,USA,2016,spending,604452000
2,USA,2016,personnel,1381
20,CAN,1920,spending,10755
20,CAN,1920,personnel,4
20,CAN,1921,spending,10209
20,CAN,1921,personnel,4
20,CAN,1922,spending,10028
20,CAN,1922,personnel,4
20,CAN,1923,spending,13316
20,CAN,1923,personnel,4
20,CAN,1924,spending,12824
20,CAN,1924,personnel,4
20,CAN,1925,spending,12984
20,CAN,1925,personnel,4
20,CAN,1926,spending,13936
20,CAN,1926,personnel,4
20,CAN,1927,spending,16745
20,CAN,1927,personnel,4
20,CAN,1928,spending,18862
20,CAN,1928,personnel,5
20,CAN,1929,spending,21058
20,CAN,1929,personnel,4
20,CAN,1930,spending,22649
20,CAN,1930,personnel,5
20,CAN,1931,spending,18263
20,CAN,1931,personnel,6
20,CAN,1932,spending,11999
20,CAN,1932,personnel,5
20,CAN,1933,spending,17149
20,CAN,1933,personnel,5
20,CAN,1934,spending,12943
20,CAN,1934,personnel,5
20,CAN,1935,spending,24921
20,CAN,1935,personnel,4
20,CAN,1936,spending,24762
20,CAN,1936,personnel,6
20,CAN,1937,spending,32419
20,CAN,1937,personnel,6
20,CAN,1938,spending,35282
20,CAN,1938,personnel,6
20,CAN,1939,spending,125700
20,CAN,1939,personnel,6
20,CAN,1940,spending,730100
20,CAN,1940,personnel,21
20,CAN,1941,spending,1038380
20,CAN,1941,personnel,280
20,CAN,1942,spending,2321324
20,CAN,1942,personnel,400
20,CAN,1943,spending,3841192
20,CAN,1943,personnel,740
20,CAN,1944,spending,3622309
20,CAN,1944,personnel,728
20,CAN,1945,spending,2664365
20,CAN,1945,personnel,801
20,CAN,1946,spending,1552759
20,CAN,1946,personnel,46
20,CAN,1947,spending,385771
20,CAN,1947,personnel,43
20,CAN,1948,spending,195025
20,CAN,1948,personnel,40
20,CAN,1949,spending,370149
20,CAN,1949,personnel,47
20,CAN,1950,spending,447964
20,CAN,1950,personnel,45
20,CAN,1951,spending,1150942
20,CAN,1951,personnel,62
20,CAN,1952,spending,1843656
20,CAN,1952,personnel,102
20,CAN,1953,spending,2028835
20,CAN,1953,personnel,104
20,CAN,1954,spending,1818274
20,CAN,1954,personnel,108
20,CAN,1955,spending,1883021
20,CAN,1955,personnel,112
20,CAN,1956,spending,1889889
20,CAN,1956,personnel,116
20,CAN,1957,spending,1905207
20,CAN,1957,personnel,121
20,CAN,1958,spending,1766497
20,CAN,1958,personnel,119
20,CAN,1959,spending,1703318
20,CAN,1959,personnel,120
20,CAN,1960,spending,1735570
20,CAN,1960,personnel,121
20,CAN,1961,spending,1722891
20,CAN,1961,personnel,124
20,CAN,1962,spending,1735210
20,CAN,1962,personnel,124
20,CAN,1963,spending,1588421
20,CAN,1963,personnel,120
20,CAN,1964,spending,1677304
20,CAN,1964,personnel,120
20,CAN,1965,spending,1544548
20,CAN,1965,personnel,120
20,CAN,1966,spending,1642790
20,CAN,1966,personnel,110
20,CAN,1967,spending,1813063
20,CAN,1967,personnel,105
20,CAN,1968,spending,1782772
20,CAN,1968,personnel,105
20,CAN,1969,spending,1770133
20,CAN,1969,personnel,100
20,CAN,1970,spending,1920602
20,CAN,1970,personnel,95
20,CAN,1971,spending,2110319
20,CAN,1971,personnel,85
20,CAN,1972,spending,2260834
20,CAN,1972,personnel,90
20,CAN,1973,spending,2404759
20,CAN,1973,personnel,82
20,CAN,1974,spending,2926380
20,CAN,1974,personnel,82
20,CAN,1975,spending,3074729
20,CAN,1975,personnel,78
20,CAN,1976,spending,3639959
20,CAN,1976,personnel,78
20,CAN,1977,spending,3877762
20,CAN,1977,personnel,78
20,CAN,1978,spending,4016964
20,CAN,1978,personnel,79
20,CAN,1979,spending,4119005
20,CAN,1979,personnel,79
20,CAN,1980,spending,4387240
20,CAN,1980,personnel,82
20,CAN,1981,spending,5246444
20,CAN,1981,personnel,81
20,CAN,1982,spending,6182339
20,CAN,1982,personnel,81
20,CAN,1983,spending,6562003
20,CAN,1983,personnel,81
20,CAN,1984,spending,7195604
20,CAN,1984,personnel,82
20,CAN,1985,spending,6809000
20,CAN,1985,personnel,83
20,CAN,1986,spending,7180000
20,CAN,1986,personnel,85
20,CAN,1987,spending,7960000
20,CAN,1987,personnel,86
20,CAN,1988,spending,8830000
20,CAN,1988,personnel,88
20,CAN,1989,spending,9480000
20,CAN,1989,personnel,88
20,CAN,1990,spending,10280000
20,CAN,1990,personnel,87
20,CAN,1991,spending,11420000
20,CAN,1991,personnel,86
20,CAN,1992,spending,10310000
20,CAN,1992,personnel,82
20,CAN,1993,spending,9600000
20,CAN,1993,personnel,76
20,CAN,1994,spending,9695000
20,CAN,1994,personnel,75
20,CAN,1995,spending,9126000
20,CAN,1995,personnel,70
20,CAN,1996,spending,8624000
20,CAN,1996,personnel,66
20,CAN,1997,spending,7801000
20,CAN,1997,personnel,61
20,CAN,1998,spending,7677000
20,CAN,1998,personnel,60
20,CAN,1999,spending,8395000
20,CAN,1999,personnel,60
20,CAN,2000,spending,8320000
20,CAN,2000,personnel,59
20,CAN,2001,spending,7745000
20,CAN,2001,personnel,57
20,CAN,2002,spending,8522000
20,CAN,2002,personnel,52
20,CAN,2003,spending,10102000
20,CAN,2003,personnel,52
20,CAN,2004,spending,11501000
20,CAN,2004,personnel,57
20,CAN,2005,spending,13224000
20,CAN,2005,personnel,62
20,CAN,2006,spending,15103000
20,CAN,2006,personnel,62
20,CAN,2007,spending,18491000
20,CAN,2007,personnel,63
20,CAN,2008,spending,19836000
20,CAN,2008,personnel,64
20,CAN,2009,spending,19575000
20,CAN,2009,personnel,64
20,CAN,2010,spending,20240000
20,CAN,2010,personnel,66
20,CAN,2011,spending,20081000
20,CAN,2011,personnel,66
20,CAN,2012,spending,18445000
20,CAN,2012,personnel,66
20,CAN,2013,spending,16389000
20,CAN,2013,personnel,66
20,CAN,2014,spending,15925000
20,CAN,2014,personnel,66
20,CAN,2015,spending,14007000
20,CAN,2015,personnel,66
20,CAN,2016,spending,13162000
20,CAN,2016,personnel,66
31,BHM,1973,spending,0
31,BHM,1973,personnel,0
31,BHM,1974,spending,0
31,BHM,1974,personnel,0
31,BHM,1975,spending,0
31,BHM,1975,personnel,0
31,BHM,1976,spending,5500
31,BHM,1976,personnel,0
31,BHM,1977,spending,4800
31,BHM,1977,personnel,0
31,BHM,1978,spending,4900
31,BHM,1978,personnel,0
31,BHM,1979,spending,2700
31,BHM,1979,personnel,0
31,BHM,1980,spending,5000
31,BHM,1980,personnel,0
31,BHM,1981,spending,6600
31,BHM,1981,personnel,0
31,BHM,1982,spending,9000
31,BHM,1982,personnel,0
31,BHM,1983,spending,8000
31,BHM,1983,personnel,0
31,BHM,1984,spending,8600
31,BHM,1984,personnel,0
31,BHM,1985,spending,9600
31,BHM,1985,personnel,1
31,BHM,1986,spending,11100
31,BHM,1986,personnel,0
31,BHM,1987,spending,14337
31,BHM,1987,personnel,0
31,BHM,1988,spending,77700
31,BHM,1988,personnel,0
31,BHM,1989,spending,66500
31,BHM,1989,personnel,2
31,BHM,1990,spending,65700
31,BHM,1990,personnel,1
31,BHM,1991,spending,48000
31,BHM,1991,personnel,0
31,BHM,1992,spending,17800
31,BHM,1992,personnel,1
31,BHM,1993,spending,-9
31,BHM,1993,personnel,1
31,BHM,1994,spending,20000
31,BHM,1994,personnel,0
31,BHM,1995,spending,19000
31,BHM,1995,personnel,0
31,BHM,1996,spending,22000
31,BHM,1996,personnel,0
31,BHM,1997,spending,22000
31,BHM,1997,personnel,0
31,BHM,1998,spending,26000
31,BHM,1998,personnel,0
31,BHM,1999,spending,26000
31,BHM,1999,personnel,1
31,BHM,2000,spending,30000
31,BHM,2000,personnel,1
31,BHM,2001,spending,29000
31,BHM,2001,personnel,1
31,BHM,2002,spending,28000
31,BHM,2002,personnel,1
31,BHM,2003,spending,33000
31,BHM,2003,personnel,1
31,BHM,2004,spending,34000
31,BHM,2004,personnel,1
31,BHM,2005,spending,36000
31,BHM,2005,personnel,1
31,BHM,2006,spending,48000
31,BHM,2006,personnel,1
31,BHM,2007,spending,58000
31,BHM,2007,personnel,1
31,BHM,2008,spending,49000
31,BHM,2008,personnel,1
31,BHM,2009,spending,49000
31,BHM,2009,personnel,1
31,BHM,2010,spending,47000
31,BHM,2010,personnel,1
31,BHM,2011,spending,50000
31,BHM,2011,personnel,1
31,BHM,2012,spending,55000
31,BHM,2012,personnel,1
31,BHM,2013,spending,64000
31,BHM,2013,personnel,1
31,BHM,2014,spending,87000
31,BHM,2014,personnel,1
31,BHM,2015,spending,102000
31,BHM,2015,personnel,1
31,BHM,2016,spending,121000
31,BHM,2016,personnel,1
40,CUB,1902,spending,-9
40,CUB,1902,personnel,3
40,CUB,1903,spending,-9
40,CUB,1903,personnel,3
40,CUB,1904,spending,-9
40,CUB,1904,personnel,4
40,CUB,1905,spending,-9
40,CUB,1905,personnel,4
40,CUB,1906,spending,6161
40,CUB,1906,personnel,4
40,CUB,1909,spending,-9
40,CUB,1909,personnel,5
40,CUB,1910,spending,-9
40,CUB,1910,personnel,5
40,CUB,1911,spending,-9
40,CUB,1911,personnel,5
40,CUB,1912,spending,-9
40,CUB,1912,personnel,5
40,CUB,1913,spending,7293
40,CUB,1913,personnel,11
40,CUB,1914,spending,-9
40,CUB,1914,personnel,13
40,CUB,1915,spending,-9
40,CUB,1915,personnel,15
40,CUB,1916,spending,-9
40,CUB,1916,personnel,18
40,CUB,1917,spending,-9
40,CUB,1917,personnel,19
40,CUB,1918,spending,-9
40,CUB,1918,personnel,19
40,CUB,1919,spending,14374
40,CUB,1919,personnel,18
40,CUB,1920,spending,16979
40,CUB,1920,personnel,18
40,CUB,1921,spending,17444
40,CUB,1921,personnel,18
40,CUB,1922,spending,14133
40,CUB,1922,personnel,12
40,CUB,1923,spending,9506
40,CUB,1923,personnel,12
40,CUB,1924,spending,9516
40,CUB,1924,personnel,12
40,CUB,1925,spending,12043
40,CUB,1925,personnel,13
40,CUB,1926,spending,12471
40,CUB,1926,personnel,13
40,CUB,1927,spending,12313
40,CUB,1927,personnel,13
40,CUB,1928,spending,12846
40,CUB,1928,personnel,13
40,CUB,1929,spending,12734
40,CUB,1929,personnel,13
40,CUB,1930,spending,11988
40,CUB,1930,personnel,13
40,CUB,1931,spending,10100
40,CUB,1931,personnel,13
40,CUB,1932,spending,9795
40,CUB,1932,personnel,13
40,CUB,1933,spending,7894
40,CUB,1933,personnel,13
40,CUB,1934,spending,12195
40,CUB,1934,personnel,13
40,CUB,1935,spending,14488
40,CUB,1935,personnel,16
40,CUB,1936,spending,18385
40,CUB,1936,personnel,16
40,CUB,1937,spending,18485
40,CUB,1937,personnel,19
40,CUB,1938,spending,18385
40,CUB,1938,personnel,19
40,CUB,1939,spending,18477
40,CUB,1939,personnel,19
40,CUB,1940,spending,17416
40,CUB,1940,personnel,19
40,CUB,1941,spending,-9
40,CUB,1941,personnel,19
40,CUB,1942,spending,15794
40,CUB,1942,personnel,20
40,CUB,1943,spending,-9
40,CUB,1943,personnel,20
40,CUB,1944,spending,-9
40,CUB,1944,personnel,20
40,CUB,1945,spending,-9
40,CUB,1945,personnel,21
40,CUB,1946,spending,-9
40,CUB,1946,personnel,18
40,CUB,1947,spending,-9
40,CUB,1947,personnel,18
40,CUB,1948,spending,39943
40,CUB,1948,personnel,18
40,CUB,1949,spending,-9
40,CUB,1949,personnel,19
40,CUB,1950,spending,39175
40,CUB,1950,personnel,20
40,CUB,1951,spending,-9
40,CUB,1951,personnel,20
40,CUB,1952,spending,56000
40,CUB,1952,personnel,20
40,CUB,1953,spending,53000
40,CUB,1953,personnel,21
40,CUB,1954,spending,-9
40,CUB,1954,personnel,21
40,CUB,1955,spending,54000
40,CUB,1955,personnel,13
40,CUB,1956,spending,51000
40,CUB,1956,personnel,13
40,CUB,1957,spending,56100
40,CUB,1957,personnel,19
40,CUB,1958,spending,-9
40,CUB,1958,personnel,19
40,CUB,1959,spending,-9
40,CUB,1959,personnel,19
40,CUB,1960,spending,175000
40,CUB,1960,personnel,46
40,CUB,1961,spending,175000
40,CUB,1961,personnel,270
40,CUB,1962,spending,200000
40,CUB,1962,personnel,270
40,CUB,1963,spending,200000
40,CUB,1963,personnel,80
40,CUB,1964,spending,200000
40,CUB,1964,personnel,110
40,CUB,1965,spending,140000
40,CUB,1965,personnel,110
40,CUB,1966,spending,230000
40,CUB,1966,personnel,110
40,CUB,1967,spending,170000
40,CUB,1967,personnel,110
40,CUB,1968,spending,213000
40,CUB,1968,personnel,110
40,CUB,1969,spending,186000
40,CUB,1969,personnel,140
40,CUB,1970,spending,228000
40,CUB,1970,personnel,140
40,CUB,1971,spending,290000
40,CUB,1971,personnel,140
40,CUB,1972,spending,267000
40,CUB,1972,personnel,140
40,CUB,1973,spending,270000
40,CUB,1973,personnel,140
40,CUB,1974,spending,282000
40,CUB,1974,personnel,140
40,CUB,1975,spending,326000
40,CUB,1975,personnel,120
40,CUB,1976,spending,-9
40,CUB,1976,personnel,125
40,CUB,1977,spending,770000
40,CUB,1977,personnel,200
40,CUB,1978,spending,1031579
40,CUB,1978,personnel,210
40,CUB,1979,spending,1136486
40,CUB,1979,personnel,210
40,CUB,1980,spending,1126388
40,CUB,1980,personnel,220
40,CUB,1981,spending,1272515
40,CUB,1981,personnel,225
40,CUB,1982,spending,1330000
40,CUB,1982,personnel,230
40,CUB,1983,spending,1338001
40,CUB,1983,personnel,250
40,CUB,1984,spending,1357214
40,CUB,1984,personnel,297
40,CUB,1985,spending,1350000
40,CUB,1985,personnel,297
40,CUB,1986,spending,1480000
40,CUB,1986,personnel,297
40,CUB,1987,spending,1660000
40,CUB,1987,personnel,297
40,CUB,1988,spending,2240000
40,CUB,1988,personnel,297
40,CUB,1989,spending,1830000
40,CUB,1989,personnel,297
40,CUB,1990,spending,1691000
40,CUB,1990,personnel,297
40,CUB,1991,spending,1160000
40,CUB,1991,personnel,297
40,CUB,1992,spending,-9
40,CUB,1992,personnel,175
40,CUB,1993,spending,-9
40,CUB,1993,personnel,175
40,CUB,1994,spending,356
40,CUB,1994,personnel,140
40,CUB,1995,spending,700000
40,CUB,1995,personnel,70
40,CUB,1996,spending,715000
40,CUB,1996,personnel,70
40,CUB,1997,spending,720000
40,CUB,1997,personnel,55
40,CUB,1998,spending,765000
40,CUB,1998,personnel,55
40,CUB,1999,spending,750000
40,CUB,1999,personnel,50
40,CUB,2000,spending,735000
40,CUB,2000,personnel,58
40,CUB,2001,spending,735000
40,CUB,2001,personnel,46
40,CUB,2002,spending,1152000
40,CUB,2002,personnel,46
40,CUB,2003,spending,1208000
40,CUB,2003,personnel,46
40,CUB,2004,spending,1320000
40,CUB,2004,personnel,48
40,CUB,2005,spending,1444000
40,CUB,2005,personnel,49
40,CUB,2006,spending,1668000
40,CUB,2006,personnel,49
40,CUB,2007,spending,2148000
40,CUB,2007,personnel,49
40,CUB,2008,spending,2296000
40,CUB,2008,personnel,49
40,CUB,2009,spending,19060000
40,CUB,2009,personnel,49
40,CUB,2010,spending,-9
40,CUB,2010,personnel,49
40,CUB,2011,spending,96000
40,CUB,2011,personnel,49
40,CUB,2012,spending,-9
40,CUB,2012,personnel,49
40,CUB,2013,spending,-9
40,CUB,2013,personnel,49
40,CUB,2014,spending,-9
40,CUB,2014,personnel,49
40,CUB,2015,spending,-9
40,CUB,2015,personnel,49
40,CUB,2016,spending,-9
40,CUB,2016,personnel,49
41,HAI,1859,spending,-9
41,HAI,1859,personnel,30
41,HAI,1860,spending,-9
41,HAI,1860,personnel,16
41,HAI,1861,spending,-9
41,HAI,1861,personnel,4
41,HAI,1862,spending,-9
41,HAI,1862,personnel,4
41,HAI,1863,spending,163
41,HAI,1863,personnel,4
41,HAI,1864,spending,-9
41,HAI,1864,personnel,4
41,HAI,1865,spending,-9
41,HAI,1865,personnel,4
41,HAI,1866,spending,-9
41,HAI,1866,personnel,4
41,HAI,1867,spending,-9
41,HAI,1867,personnel,4
41,HAI,1868,spending,-9
41,HAI,1868,personnel,4
41,HAI,1869,spending,-9
41,HAI,1869,personnel,4
41,HAI,1870,spending,-9
41,HAI,1870,personnel,4
41,HAI,1871,spending,-9
41,HAI,1871,personnel,4
41,HAI,1872,spending,-9
41,HAI,1872,personnel,4
41,HAI,1873,spending,-9
41,HAI,1873,personnel,4
